name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value
Jeremy Horn,200,360,240,0,0,0,80,53,25,958
Charles Jourdain,200,180,160,0,70,0,60,280,0,950
Hiroyuki Takaya,500,0,160,0,70,0,60,135,25,950
Devin Clark,100,0,560,0,0,0,90,174,25,949
Pedro Rizzo,600,0,80,0,70,0,90,31,75,946
Kennedy Nzechukwu,500,90,80,0,70,0,50,155,0,945
Anthony Rocco Martin,100,270,400,0,0,0,60,114,0,944
Montel Jackson,300,90,320,0,0,0,20,213,0,943
Ion Cutelaba,400,0,160,0,70,0,90,221,0,941
Phil Baroni,500,90,80,0,0,0,130,114,25,939
Kevin Randleman,200,0,400,0,0,0,120,139,75,934
Ilir Latifi,300,180,240,0,70,0,70,69,0,929
Spencer Fisher,200,180,320,0,0,0,80,147,0,927
Duane Ludwig,300,0,240,0,70,0,100,216,0,926
John Moraga,200,270,160,0,70,0,60,141,25,926
Aaron Simpson,300,0,320,0,70,0,40,192,0,922
Irene Aldana,300,90,240,0,70,0,50,121,50,921
Alejandro Perez,300,90,240,75,70,0,40,104,0,919
Joachim Hansen,300,270,80,0,140,0,70,59,0,919
Geoff Neal,500,90,80,0,70,0,40,111,25,916
Amanda Lemos,300,180,160,0,70,0,30,98,75,913
Sean Sherk,0,90,480,0,70,0,40,133,100,913
George Roop,300,0,160,0,140,0,90,223,0,913
Alan Belcher,400,270,0,0,70,0,60,112,0,912
Kai Kara-France,200,0,320,0,70,0,40,230,50,910
Max Griffin,300,0,160,75,140,0,80,155,0,910
Joe Riggs,400,90,160,0,0,0,100,158,0,908
Ricky Simon,100,270,240,0,140,0,40,93,25,908
Michel Pereira,200,180,240,0,70,0,20,196,0,906
Mackenzie Dern,0,360,160,0,140,0,50,120,75,905
Jack Della Maddalena,400,90,80,0,140,0,0,195,0,905
Yancy Medeiros,300,270,80,0,70,10,80,61,25,896
Shane Burgos,200,90,240,75,70,0,30,190,0,895
Calvin Kattar,400,0,240,0,0,0,50,76,125,891
Randa Markos,0,90,320,75,140,0,100,166,0,891
Vladimir Matyushenko,300,0,320,0,70,0,60,115,25,890
JJ Aldrich,100,0,560,0,70,0,50,109,0,889
Myles Jury,300,90,240,0,70,0,40,149,0,889
Liz Carmouche,200,0,320,0,70,0,70,152,75,887
Cody Stamann,100,0,320,75,140,0,50,200,0,885
Mark Kerr,200,450,80,0,0,10,50,94,0,884
Dan Severn,0,450,240,0,70,0,40,84,0,884
Patrick Cummins,300,0,240,0,70,0,70,201,0,881
Mario Bautista,100,270,320,0,0,0,20,168,0,878
Stephan Bonnar,200,180,320,0,0,0,80,97,0,877
Tom Aspinall,500,180,0,0,0,0,10,87,100,877
Giga Chikadze,300,0,240,0,140,0,20,127,50,877
TJ Grant,300,90,240,0,70,0,30,144,0,874
Amanda Ribas,100,180,320,0,0,0,30,242,0,872
Erik Koch,300,180,240,0,0,0,60,90,0,870
Rustam Khabilov,100,0,560,0,70,0,30,83,25,868
Paul Daley,700,0,0,0,0,0,50,67,50,867
Julianna Pena,200,180,240,0,0,0,30,142,75,867
Volkan Oezdemir,300,90,80,0,140,0,60,147,50,867
Bibiano Fernandes,100,270,240,0,140,0,10,106,0,866
Nate Quarry,500,0,160,0,0,0,30,151,25,866
Jalin Turner,400,270,0,0,0,0,40,153,0,863
Gabriel Benitez,300,180,160,0,0,0,70,153,0,863
Carlos Newton,0,450,160,0,70,0,80,27,75,862
Bruno Silva,600,90,0,0,0,10,60,101,0,861
Mark Bocek,0,360,240,0,70,0,50,138,0,858
Nicolas Dalby,100,0,320,75,140,10,30,180,0,855
Raoni Barcelos,200,180,240,0,0,0,40,195,0,855
Marc Diakiese,200,0,400,0,70,0,70,115,0,855
Karo Parisyan,100,90,400,0,70,10,40,145,0,855
Brian Kelleher,200,270,240,0,0,0,80,64,0,854
Ricardo Almeida,0,270,400,0,0,0,50,134,0,854
Serghei Spivac,300,180,80,75,0,0,40,125,50,850
Kurt Pellegrino,100,360,240,0,0,0,50,98,0,848
Trevin Giles,300,0,160,0,140,0,60,188,0,848
Thiago Moises,200,270,240,0,0,0,50,63,25,848
Kyler Phillips,200,90,320,0,0,0,10,227,0,847
Drakkar Klose,200,0,400,0,70,0,20,157,0,847
Nathaniel Wood,0,270,320,0,0,0,30,227,0,847
Niko Price,400,180,80,0,0,20,70,95,0,845
Ian Machado Garry,300,0,240,0,70,0,0,233,0,843
John Hathaway,100,0,400,0,70,0,20,226,25,841
Jussier Formiga,0,270,480,0,0,0,70,21,0,841
Dricus Du Plessis,400,90,80,0,70,0,0,174,25,839
Hideo Tokoro,100,180,320,0,70,0,80,86,0,836
Ryan Spann,300,270,80,0,70,0,50,39,25,834
Michal Oleksiejczuk,600,0,0,0,70,10,50,104,0,834
Shawn Jordan,600,90,0,0,0,0,50,91,0,831
Jailton Almeida,200,360,80,0,0,0,10,130,50,830
Paul Buentello,500,90,80,0,0,0,40,70,50,830
Movsar Evloev,0,0,560,0,70,0,0,199,0,829
Erick Silva,200,450,0,0,0,0,80,74,25,829
Walt Harris,600,0,0,0,0,10,90,104,25,829
Lauren Murphy,200,90,160,0,210,0,60,84,25,829
Cezar Ferreira,0,270,320,0,140,0,60,38,0,828
Jordan Mein,300,0,240,0,70,0,50,164,0,824
Darren Till,200,0,240,75,70,0,50,39,150,824
Fabio Maldonado,200,0,160,0,70,0,60,302,25,817
Alex Perez,200,270,160,0,0,0,40,122,25,817
Julio Arce,300,90,160,0,0,0,40,226,0,816
Ricardo Arona,200,90,240,0,140,0,40,105,0,815
Tatiana Suarez,100,360,160,0,0,0,0,193,0,813
Dan Miller,0,540,80,0,70,0,70,27,25,812
Hakeem Dawodu,100,0,160,0,210,0,40,301,0,811
